word,meaning,number_of_searches
chase,perseguir,0
bendy,flexible,0
bossy,mandon,0
pushy,molesto,0
breath,aliento,0
breathe,respirar,0
quirk,capricho,0
quirky,peculiar,0
butt,trasero#culo,0
gossip,chisme#chismear,0
shred,fragmento#pizca,0
swamp,pantano#abrumar#inundar#sumergir,0
attorney,abogado,0
screw,tornillo#atornillar#follar,0
toes,dedos del pie,0
resampling,remuestreo,0
liver,higado,1
mortgage,hipoteca#hipotecar,0
scrape,rasguño#arañar,0
launch,lanzar,0
love,"amar, querer#amor",0
